id,Date,Code,Close,Highest,Lowest,Open,Volume
1,2014-06-24,'300387,0.0,0.0,0.0,0.0,0
2,2014-07-02,'300387,29.49,29.49,24.58,24.58,62130
3,2014-07-03,'300387,32.44,32.44,32.44,32.44,19750
4,2014-07-04,'300387,35.68,35.68,35.68,35.68,27338
5,2014-07-07,'300387,39.25,39.25,39.25,39.25,92299
6,2014-07-08,'300387,43.18,43.18,43.18,43.18,181234
7,2014-07-09,'300387,47.5,47.5,47.5,47.5,155470
8,2014-07-10,'300387,52.25,52.25,52.25,52.25,203567
9,2014-07-11,'300387,57.48,57.48,57.48,57.48,86673
10,2014-07-14,'300387,63.23,63.23,63.23,63.23,168535
11,2014-07-15,'300387,59.96,69.55,59.66,69.55,9295272
12,2014-07-16,'300387,53.96,57.36,53.96,56.5,5386351
13,2014-07-17,'300387,52.49,54.58,51.59,53.25,3350738
14,2014-07-18,'300387,49.93,52.88,49.76,52.49,2839789
15,2014-07-21,'300387,49.69,50.47,48.69,49.28,1818689
16,2014-07-22,'300387,49.98,50.39,48.88,49.58,1955774
17,2014-07-23,'300387,47.87,49.99,47.72,49.88,2823831
18,2014-07-24,'300387,48.76,50.2,46.9,47.72,3599663
19,2014-07-25,'300387,46.2,47.98,45.01,47.98,3218499
20,2014-07-28,'300387,47.0,47.49,46.0,46.24,2009487
21,2014-07-29,'300387,47.46,48.07,46.86,47.1,1932758
22,2014-07-30,'300387,50.26,50.93,47.25,47.5,3957888
23,2014-07-31,'300387,48.74,49.85,48.61,49.85,2263052
24,2014-08-01,'300387,48.1,49.98,48.1,48.68,1913764
25,2014-08-04,'300387,47.9,48.48,47.2,48.0,1645009
26,2014-08-05,'300387,48.14,48.48,47.23,47.8,1359269
27,2014-08-06,'300387,47.62,48.56,47.53,48.15,1241953
28,2014-08-07,'300387,47.0,47.72,47.0,47.4,1067164
29,2014-08-08,'300387,47.16,47.49,47.01,47.01,884525
30,2014-08-11,'300387,47.56,47.68,47.06,47.26,873115
31,2014-08-12,'300387,47.54,47.74,47.3,47.68,956203
32,2014-08-13,'300387,45.93,47.37,45.8,47.37,1530140
33,2014-08-14,'300387,46.21,46.71,45.85,45.94,872886
34,2014-08-15,'300387,46.38,46.53,46.15,46.5,595231
35,2014-08-18,'300387,47.27,47.35,46.5,46.68,941753
36,2014-08-19,'300387,46.97,47.55,46.7,47.55,1152477
37,2014-08-20,'300387,48.05,48.65,46.78,47.27,2056798
38,2014-08-21,'300387,47.1,47.97,46.81,47.6,1140508
39,2014-08-22,'300387,47.95,48.4,47.0,47.19,1301978
40,2014-08-25,'300387,49.12,49.68,47.6,48.0,2481769
41,2014-08-26,'300387,47.36,49.4,47.22,49.0,1684470
42,2014-08-27,'300387,47.15,47.93,46.7,47.13,1142817
43,2014-08-28,'300387,49.51,49.95,46.91,46.93,3437740
44,2014-08-29,'300387,49.58,50.18,48.66,48.8,2169953
45,2014-09-01,'300387,49.9,50.29,49.02,50.29,1628015
46,2014-09-02,'300387,52.2,52.49,49.6,49.98,2625873
47,2014-09-03,'300387,51.28,52.45,50.71,52.37,2007705
48,2014-09-04,'300387,51.36,51.76,50.65,51.24,1577521
49,2014-09-05,'300387,50.17,51.83,50.04,51.5,1698389
50,2014-09-09,'300387,49.72,50.27,49.5,50.25,1034074
51,2014-09-10,'300387,50.72,50.97,49.6,49.63,1247459
52,2014-09-11,'300387,50.12,51.47,49.8,50.9,1522906
53,2014-09-12,'300387,50.13,50.35,49.5,50.0,841531
54,2014-09-15,'300387,50.17,50.48,49.83,50.16,725820
55,2014-09-16,'300387,48.19,50.28,48.19,50.27,1193097
56,2014-09-17,'300387,48.31,48.73,47.55,48.35,712438
57,2014-09-18,'300387,48.35,48.45,48.06,48.29,432195
58,2014-09-19,'300387,48.7,48.79,48.3,48.31,519928
59,2014-09-22,'300387,47.33,48.72,47.3,48.7,574238
60,2014-09-23,'300387,48.05,48.17,47.3,47.3,412491
61,2014-09-24,'300387,48.32,48.6,47.48,47.9,556328
62,2014-09-25,'300387,48.81,49.5,48.3,48.5,715186
63,2014-09-26,'300387,49.02,50.3,48.83,48.83,665248
64,2014-09-29,'300387,49.5,49.88,49.28,49.28,568444
65,2014-09-30,'300387,49.75,49.79,49.3,49.5,539146
66,2014-10-08,'300387,50.54,50.55,49.67,49.75,850635
67,2014-10-09,'300387,50.87,51.67,50.02,50.61,1326704
68,2014-10-10,'300387,49.98,51.11,49.82,51.11,868725
