year,y,y_pre
2009/11/27,13.23,13.2967844
2009/11/30,13.47,13.11398411
2009/12/1,13.5,13.0371666
2009/12/2,13.57,13.0444212
2009/12/3,13.52,13.10138798
2009/12/4,13.97,13.12615585
2009/12/7,13.91,13.30216312
2009/12/8,13.78,13.35956001
2009/12/9,13.63,13.33746147
2009/12/10,13.59,13.26760197
2009/12/11,13.5,13.22061157
2009/12/14,13.99,13.20335007
2009/12/15,13.76,13.3459444
2009/12/16,13.66,13.34460258
2009/12/17,13.45,13.28316879
2009/12/18,13.28,13.2038641
2009/12/21,13.35,13.11142826
2009/12/22,13.06,13.04105663
2009/12/23,13.14,12.96436977
2009/12/24,13.31,12.87061119
2009/12/25,13.22,12.89907074
2009/12/28,13.4,12.93165874
2009/12/29,13.55,12.97425175
2009/12/30,13.81,13.0439043
2009/12/31,13.82,13.22389507
2010/1/4,13.63,13.28531837
2010/1/5,13.89,13.27261448
2010/1/6,13.7,13.31437588
2010/1/7,13.61,13.32551479
2010/1/8,13.45,13.32999516
2010/1/11,13.72,13.20374012
2010/1/12,14.28,13.27187634
2010/1/13,13.83,13.46273899
2010/1/14,13.88,13.4888525
2010/1/15,13.78,13.36911297
2010/1/18,13.72,13.28534031
2010/1/19,13.85,13.23892498
2010/1/20,13.67,13.33422565
2010/1/21,13.51,13.36773109
2010/1/22,13.53,13.29518509
2010/1/25,13.39,13.17742348
2010/1/26,13.15,13.06790161
2010/1/27,13.14,12.98583508
2010/1/28,13.12,12.91495228
2010/1/29,13.08,12.87621784
2010/2/1,12.83,12.84268284
2010/2/2,12.82,12.74620342
2010/2/3,13.04,12.67223454
2010/2/4,12.91,12.6435051
2010/2/5,12.71,12.64872742
2010/2/8,12.7,12.57596302
2010/2/9,12.76,12.51566505
2010/2/10,12.84,12.47397709
2010/2/11,12.87,12.48795986
2010/2/12,13.01,12.53334999
2010/2/22,12.92,12.61132526
2010/2/23,12.84,12.65500927
2010/2/24,12.96,12.62734509
2010/2/25,13.05,12.60791111
2010/2/26,13,12.67599773
2010/3/1,13.06,12.70084858
2010/3/2,12.95,12.71926403
2010/3/3,12.99,12.71782398
2010/3/4,12.78,12.70785618
2010/3/5,12.8,12.66782093
2010/3/8,12.85,12.59016514
2010/3/9,12.88,12.54437923
2010/3/10,12.85,12.55335426
2010/3/11,12.94,12.57001019
2010/3/12,12.82,12.61802101
2010/3/15,12.66,12.61293888
2010/3/16,12.66,12.54615498
2010/3/17,12.82,12.46541595
2010/3/18,12.8,12.46292591
2010/3/19,12.86,12.49511147
2010/3/22,12.85,12.51614666
2010/3/23,12.81,12.55248356
2010/3/24,12.77,12.57012653
2010/3/25,12.65,12.55923843
2010/3/26,12.77,12.50953388
2010/3/29,12.93,12.47883034
2010/3/30,12.92,12.56495953
2010/3/31,12.84,12.59538174
2010/4/1,12.91,12.58548355
2010/4/2,12.98,12.60091019
2010/4/6,12.98,12.65420437
2010/4/7,12.91,12.69679165
2010/4/8,12.76,12.67362309
2010/4/9,12.81,12.62587833
2010/4/12,12.76,12.56833649
2010/4/13,13.05,12.55275059
2010/4/14,12.97,12.64915466
2010/4/15,13.23,12.68368244
2010/4/16,13.04,12.77631569
2010/4/19,12.49,12.77292919
2010/4/20,12.42,12.62271976
2010/4/21,12.56,12.41125011
2010/4/22,12.34,12.2968359
2010/4/23,12.25,12.23514938
2010/4/26,12.2,12.12968922
2010/4/27,11.92,12.04764557
2010/4/28,11.99,11.91694736
2010/4/29,11.95,11.79347897
2010/4/30,12.1,11.74752998
2010/5/4,11.97,11.73855782
2010/5/5,11.92,11.71837902
2010/5/6,11.31,11.68173981
2010/5/7,11.04,11.51511765
2010/5/10,11.08,11.23235416
2010/5/11,10.98,11.00982952
2010/5/12,11.11,10.89198017
2010/5/13,11.22,10.77684498
2010/5/14,11.15,10.77760601
2010/5/17,10.73,10.80434799
2010/5/18,10.89,10.73998356
2010/5/19,10.87,10.67703533
2010/5/20,0,10.62636566
2010/5/21,10.84,10.01620007
2010/5/24,11.1,10.24494457
2010/5/25,10.85,10.82773876
2010/5/26,10.81,11.08363533
2010/5/27,10.92,10.89787674
2010/5/28,10.96,10.5659399
2010/5/31,10.85,10.62574768
2010/6/1,10.86,10.64090347
2010/6/2,10.77,10.63500881
2010/6/4,10.61,10.58328438
2010/6/7,10.38,10.48278427
2010/6/8,10.38,10.35947704
2010/6/9,10.6,10.2584734
2010/6/10,10.63,10.2220335
2010/6/11,10.69,10.23544407
2010/6/17,10.68,10.28805256
2010/6/18,10.58,10.367136
2010/6/21,10.79,10.39086628
2010/6/22,10.76,10.40175819
2010/6/23,10.77,10.42577267
2010/6/24,10.76,10.43951225
2010/6/25,10.71,10.45298862
2010/6/28,10.67,10.45807362
2010/6/29,10.29,10.43770504
2010/6/30,10.25,10.36920738
2010/7/1,10.19,10.25230408
2010/7/2,10.33,10.14041424
2010/7/5,10.34,10.06855679
2010/7/6,10.43,10.0366354
2010/7/7,10.41,10.05744743
2010/7/8,10.38,10.0787611
